agency,debtcode,zip,city,state,offset_count,offset_amt,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33777,SEMINOLE,FL,1,12.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33805,LAKELAND,FL,1,244,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33844,HAINES CITY,FL,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33896,DAVENPORT,FL,1,146,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33903,FORT MYERS,FL,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33905,FORT MYERS,FL,1,133.95,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33913,FORT MYERS,FL,1,101,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33914,CAPE CORAL,FL,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33919,FORT MYERS,FL,2,120.35,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33967,FORT MYERS,FL,1,46.55,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,33991,CAPE CORAL,FL,1,32,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34108,NAPLES,FL,1,0.95,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34109,NAPLES,FL,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34134,BONITA SPRINGS,FL,2,272,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34145,MARCO ISLAND,FL,1,487.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34207,BRADENTON,FL,1,46.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34210,BRADENTON,FL,1,1459.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34222,ELLENTON,FL,1,85,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34234,SARASOTA,FL,1,109,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34238,SARASOTA,FL,1,4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34240,SARASOTA,FL,1,5.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34293,VENICE,FL,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34473,OCALA,FL,1,34.27,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34668,PORT RICHEY,FL,1,23.31,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34688,TARPON SPRINGS,FL,1,280.6,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34691,HOLIDAY,FL,1,75.12,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34711,CLERMONT,FL,1,264,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34743,KISSIMMEE,FL,1,10,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34746,KISSIMMEE,FL,3,259.25,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34747,CELEBRATION,FL,1,51,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34758,KISSIMMEE,FL,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,34797,YALAHA,FL,1,43,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,35442,ALICEVILLE,AL,1,68.42,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,35640,HARTSELLE,AL,1,111,,,,,,,,,,,,,,,,,,,,
